(MVA map: LMT)            N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.16.26.375 W122.23.24.318 N042.13.52.500 W122.24.04.667
                          N042.16.35.950 W121.13.32.068 N042.16.35.950 W121.14.15.154
                          N042.16.35.950 W121.14.15.154 N042.16.46.892 W121.14.37.038
                          N042.16.35.950 W121.11.54.956 N042.16.35.950 W121.11.33.071
                          N042.16.35.950 W121.11.33.071 N042.16.46.892 W121.11.11.871
                          N042.16.46.892 W121.11.11.871 N042.16.57.834 W121.11.00.929
                          N042.16.46.892 W121.12.16.840 N042.16.35.950 W121.11.54.956
                          N042.16.55.099 W121.58.17.023 N042.15.58.336 W121.59.07.631
                          N042.16.57.834 W121.13.10.868 N042.16.35.950 W121.13.32.068
                          N042.16.57.834 W121.11.00.929 N042.17.19.719 W121.11.00.929
                          N042.16.57.834 W121.12.27.099 N042.16.46.892 W121.12.16.840
                          N042.17.03.989 W120.58.00.609 N042.25.47.849 W120.26.06.400
                          N042.17.03.989 W120.58.00.609 N042.18.47.257 W120.58.35.488
                          N042.17.08.777 W121.22.12.509 N042.18.32.211 W121.23.12.692
                          N042.17.19.719 W121.14.15.154 N042.17.40.919 W121.14.37.038
                          N042.17.19.719 W121.13.32.068 N042.17.19.719 W121.14.15.154
                          N042.17.19.719 W121.11.00.929 N042.17.29.977 W121.11.11.871
                          N042.17.29.977 W121.11.11.871 N042.17.40.919 W121.11.33.071
                          N042.17.40.919 W121.13.10.868 N042.17.19.719 W121.13.32.068
                          N042.17.40.919 W121.14.37.038 N042.18.02.804 W121.14.37.038
                          N042.17.40.919 W121.11.33.071 N042.17.40.919 W121.11.54.956
                          N042.17.40.919 W121.11.54.956 N042.18.24.004 W121.11.11.871
                          N042.17.48.442 W121.57.20.260 N042.16.55.099 W121.58.17.023
                          N042.17.49.810 W122.14.21.309 N042.13.23.777 W122.03.32.296
                          N042.17.49.810 W122.14.21.309 N042.21.23.868 W122.21.08.907
                          N042.18.02.804 W121.13.10.868 N042.16.57.834 W121.13.10.868
                          N042.18.02.804 W121.14.37.038 N042.18.24.004 W121.14.15.154
                          N042.18.13.062 W123.04.10.594 N042.13.00.524 W123.04.52.312
                          N042.18.24.004 W121.13.32.068 N042.18.02.804 W121.13.10.868
                          N042.18.24.004 W121.14.15.154 N042.18.24.004 W121.13.32.068
                          N042.18.24.004 W121.11.11.871 N042.18.24.004 W121.12.16.840
                          N042.18.32.211 W121.23.12.692 N042.19.50.859 W121.24.23.132
                          N042.18.37.682 W121.56.16.658 N042.17.48.442 W121.57.20.260
                          N042.18.47.257 W120.58.35.488 N042.21.41.649 W120.59.52.084
