((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.35.01.328 W122.50.00.283 N048.35.04.311 W122.49.54.790 RVM
                          N048.35.04.311 W122.49.54.790 N048.35.06.528 W122.49.48.522 RVM
                          N048.35.06.528 W122.49.48.522 N048.35.07.893 W122.49.41.720 RVM
                          N048.35.07.893 W122.49.41.720 N048.35.08.354 W122.49.34.647 RVM
                          N048.35.08.354 W122.49.34.647 N048.35.20.346 W122.49.34.647 RVM
                          N048.34.44.368 W122.48.58.395 N048.34.44.366 W122.48.40.269 RVM
                          N048.34.20.386 W122.49.34.647 N048.34.08.394 W122.49.34.647 RVM
                          N048.34.44.368 W122.50.10.899 N048.34.44.366 W122.50.29.025 RVM
    ; S31
                          N048.29.26.069 W122.56.15.653 N048.29.25.608 W122.56.08.593 RVM
                          N048.29.25.608 W122.56.08.593 N048.29.24.243 W122.56.01.804 RVM
                          N048.29.24.243 W122.56.01.804 N048.29.22.026 W122.55.55.548 RVM
                          N048.29.22.026 W122.55.55.548 N048.29.19.043 W122.55.50.065 RVM
                          N048.29.19.043 W122.55.50.065 N048.29.15.409 W122.55.45.565 RVM
                          N048.29.15.409 W122.55.45.565 N048.29.11.262 W122.55.42.222 RVM
                          N048.29.11.262 W122.55.42.222 N048.29.06.762 W122.55.40.163 RVM
                          N048.29.06.762 W122.55.40.163 N048.29.02.083 W122.55.39.469 RVM
                          N048.29.02.083 W122.55.39.469 N048.28.57.404 W122.55.40.165 RVM
                          N048.28.57.404 W122.55.40.165 N048.28.52.905 W122.55.42.225 RVM
                          N048.28.52.905 W122.55.42.225 N048.28.48.759 W122.55.45.569 RVM
                          N048.28.48.759 W122.55.45.569 N048.28.45.125 W122.55.50.069 RVM
                          N048.28.45.125 W122.55.50.069 N048.28.42.143 W122.55.55.552 RVM
                          N048.28.42.143 W122.55.55.552 N048.28.39.927 W122.56.01.808 RVM
                          N048.28.39.927 W122.56.01.808 N048.28.38.562 W122.56.08.595 RVM
                          N048.28.38.562 W122.56.08.595 N048.28.38.101 W122.56.15.653 RVM
                          N048.28.38.101 W122.56.15.653 N048.28.38.562 W122.56.22.711 RVM
                          N048.28.38.562 W122.56.22.711 N048.28.39.927 W122.56.29.498 RVM
                          N048.28.39.927 W122.56.29.498 N048.28.42.143 W122.56.35.754 RVM
                          N048.28.42.143 W122.56.35.754 N048.28.45.125 W122.56.41.237 RVM
                          N048.28.45.125 W122.56.41.237 N048.28.48.759 W122.56.45.737 RVM
                          N048.28.48.759 W122.56.45.737 N048.28.52.905 W122.56.49.081 RVM
                          N048.28.52.905 W122.56.49.081 N048.28.57.404 W122.56.51.141 RVM
                          N048.28.57.404 W122.56.51.141 N048.29.02.083 W122.56.51.837 RVM
                          N048.29.02.083 W122.56.51.837 N048.29.06.762 W122.56.51.143 RVM
                          N048.29.06.762 W122.56.51.143 N048.29.11.262 W122.56.49.084 RVM
                          N048.29.11.262 W122.56.49.084 N048.29.15.409 W122.56.45.741 RVM
                          N048.29.15.409 W122.56.45.741 N048.29.19.043 W122.56.41.241 RVM
                          N048.29.19.043 W122.56.41.241 N048.29.22.026 W122.56.35.758 RVM
                          N048.29.22.026 W122.56.35.758 N048.29.24.243 W122.56.29.502 RVM
                          N048.29.24.243 W122.56.29.502 N048.29.25.608 W122.56.22.713 RVM
                          N048.29.25.608 W122.56.22.713 N048.29.26.069 W122.56.15.653 RVM
                          N048.29.26.069 W122.56.15.653 N048.29.38.061 W122.56.15.653 RVM
                          N048.29.02.083 W122.55.39.469 N048.29.02.081 W122.55.21.377 RVM
                          N048.28.38.101 W122.56.15.653 N048.28.26.109 W122.56.15.653 RVM
                          N048.29.02.083 W122.56.51.837 N048.29.02.081 W122.57.09.929 RVM
    ; S43
                          N047.54.53.335 W122.06.19.466 N047.54.52.874 W122.06.12.485 RVM
                          N047.54.52.874 W122.06.12.485 N047.54.51.509 W122.06.05.772 RVM
                          N047.54.51.509 W122.06.05.772 N047.54.49.292 W122.05.59.586 RVM
                          N047.54.49.292 W122.05.59.586 N047.54.46.309 W122.05.54.164 RVM
                          N047.54.46.309 W122.05.54.164 N047.54.42.675 W122.05.49.714 RVM
                          N047.54.42.675 W122.05.49.714 N047.54.38.528 W122.05.46.408 RVM
                          N047.54.38.528 W122.05.46.408 N047.54.34.029 W122.05.44.373 RVM
                          N047.54.34.029 W122.05.44.373 N047.54.29.349 W122.05.43.686 RVM
                          N047.54.29.349 W122.05.43.686 N047.54.24.671 W122.05.44.375 RVM
                          N047.54.24.671 W122.05.44.375 N047.54.20.171 W122.05.46.412 RVM
                          N047.54.20.171 W122.05.46.412 N047.54.16.025 W122.05.49.718 RVM
                          N047.54.16.025 W122.05.49.718 N047.54.12.391 W122.05.54.168 RVM
                          N047.54.12.391 W122.05.54.168 N047.54.09.409 W122.05.59.590 RVM
                          N047.54.09.409 W122.05.59.590 N047.54.07.193 W122.06.05.775 RVM
                          N047.54.07.193 W122.06.05.775 N047.54.05.828 W122.06.12.487 RVM
                          N047.54.05.828 W122.06.12.487 N047.54.05.367 W122.06.19.466 RVM
                          N047.54.05.367 W122.06.19.466 N047.54.05.828 W122.06.26.445 RVM
                          N047.54.05.828 W122.06.26.445 N047.54.07.193 W122.06.33.157 RVM
                          N047.54.07.193 W122.06.33.157 N047.54.09.409 W122.06.39.342 RVM
                          N047.54.09.409 W122.06.39.342 N047.54.12.391 W122.06.44.764 RVM
                          N047.54.12.391 W122.06.44.764 N047.54.16.025 W122.06.49.213 RVM
                          N047.54.16.025 W122.06.49.213 N047.54.20.171 W122.06.52.520 RVM
                          N047.54.20.171 W122.06.52.520 N047.54.24.671 W122.06.54.557 RVM
                          N047.54.24.671 W122.06.54.557 N047.54.29.349 W122.06.55.246 RVM
                          N047.54.29.349 W122.06.55.246 N047.54.34.029 W122.06.54.559 RVM
                          N047.54.34.029 W122.06.54.559 N047.54.38.528 W122.06.52.524 RVM
                          N047.54.38.528 W122.06.52.524 N047.54.42.675 W122.06.49.218 RVM
                          N047.54.42.675 W122.06.49.218 N047.54.46.309 W122.06.44.768 RVM
                          N047.54.46.309 W122.06.44.768 N047.54.49.292 W122.06.39.346 RVM
                          N047.54.49.292 W122.06.39.346 N047.54.51.509 W122.06.33.160 RVM
