((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.47.39.501 W123.01.25.824 N043.47.37.285 W123.01.31.569 RVM 
                          N043.47.37.285 W123.01.31.569 N043.47.35.920 W123.01.37.802 RVM 
                          N043.47.35.920 W123.01.37.802 N043.47.35.459 W123.01.44.284 RVM 
                          N043.47.35.459 W123.01.44.284 N043.47.35.920 W123.01.50.766 RVM 
                          N043.47.35.920 W123.01.50.766 N043.47.37.285 W123.01.56.999 RVM 
                          N043.47.37.285 W123.01.56.999 N043.47.39.501 W123.02.02.744 RVM 
                          N043.47.39.501 W123.02.02.744 N043.47.42.483 W123.02.07.779 RVM 
                          N043.47.42.483 W123.02.07.779 N043.47.46.117 W123.02.11.912 RVM 
                          N043.47.46.117 W123.02.11.912 N043.47.50.264 W123.02.14.983 RVM 
                          N043.47.50.264 W123.02.14.983 N043.47.54.763 W123.02.16.874 RVM 
                          N043.47.54.763 W123.02.16.874 N043.47.59.442 W123.02.17.514 RVM 
                          N043.47.59.442 W123.02.17.514 N043.48.04.121 W123.02.16.876 RVM 
                          N043.48.04.121 W123.02.16.876 N043.48.08.620 W123.02.14.985 RVM 
                          N043.48.08.620 W123.02.14.985 N043.48.12.767 W123.02.11.915 RVM 
                          N043.48.12.767 W123.02.11.915 N043.48.16.401 W123.02.07.783 RVM 
                          N043.48.16.401 W123.02.07.783 N043.48.19.384 W123.02.02.747 RVM 
                          N043.48.19.384 W123.02.02.747 N043.48.21.601 W123.01.57.002 RVM 
                          N043.48.21.601 W123.01.57.002 N043.48.22.966 W123.01.50.767 RVM 
                          N043.48.22.966 W123.01.50.767 N043.48.23.427 W123.01.44.284 RVM 
                          N043.48.23.427 W123.01.44.284 N043.48.35.419 W123.01.44.284 RVM 
                          N043.47.59.442 W123.01.11.054 N043.47.59.440 W123.00.54.440 RVM 
                          N043.47.35.459 W123.01.44.284 N043.47.23.467 W123.01.44.284 RVM 
                          N043.47.59.442 W123.02.17.514 N043.47.59.440 W123.02.34.128 RVM 
    ; 5S0                                                      
                          N043.45.33.428 W122.30.09.185 N043.45.32.967 W122.30.02.707 RVM 
                          N043.45.32.967 W122.30.02.707 N043.45.31.602 W122.29.56.477 RVM 
                          N043.45.31.602 W122.29.56.477 N043.45.29.385 W122.29.50.737 RVM 
                          N043.45.29.385 W122.29.50.737 N043.45.26.402 W122.29.45.705 RVM 
                          N043.45.26.402 W122.29.45.705 N043.45.22.768 W122.29.41.576 RVM 
