Map 2- ILS Finals         N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N044.15.57.117 W123.12.16.933 N044.16.57.073 W123.12.17.826 
                          N044.17.57.029 W123.12.18.719 N044.18.56.985 W123.12.19.613 
                          N044.19.56.941 W123.12.20.507 N044.20.56.897 W123.12.21.402 
                          N044.21.56.853 W123.12.22.298 N044.22.56.809 W123.12.23.194 
                          N044.23.56.765 W123.12.24.090 N044.23.58.003 W123.12.24.108 
    ; KEUG 16L center cross at FIPMA                       
                          N044.22.58.316 W123.13.11.879 N044.22.59.055 W123.11.34.564 
    ; KEUG 16L center cross at ZUNAX                       
                          N044.12.56.876 W123.13.02.777 N044.12.57.615 W123.11.25.739 
                          N044.30.12.447 W123.17.27.879 N044.29.14.618 W123.17.37.742 
                          N044.29.14.618 W123.17.37.742 N044.30.12.447 W123.17.27.879 
                          N044.30.07.037 W123.17.30.385 N044.29.53.944 W123.16.45.024 
                          N044.29.53.944 W123.16.45.024 N044.30.07.037 W123.17.30.385 
    ; KCVO 17 centerline                                   
                          N044.35.39.807 W123.16.31.958 N044.36.39.327 W123.16.21.772 
                          N044.37.38.846 W123.16.11.580 N044.38.38.365 W123.16.01.382 
                          N044.39.37.883 W123.15.51.179 N044.40.37.401 W123.15.40.969 
                          N044.41.36.919 W123.15.30.754 N044.42.36.437 W123.15.20.533 
                          N044.43.35.955 W123.15.10.306 N044.44.05.713 W123.15.05.191 
    ; KCVO 17 center cross at 14.5                         
                          N044.44.39.668 W123.15.48.679 N044.44.31.270 W123.14.11.470 
    ; KCVO 17 center cross at 10.0                         
                          N044.40.11.839 W123.16.34.618 N044.40.03.440 W123.14.57.534 
                          N044.34.43.911 W123.17.23.926 N044.34.46.313 W123.17.19.156 
                          N044.34.46.313 W123.17.19.156 N044.34.48.370 W123.17.14.078 
                          N044.34.48.370 W123.17.14.078 N044.34.50.063 W123.17.08.741 
                          N044.34.50.063 W123.17.08.741 N044.34.51.375 W123.17.03.197 
                          N044.34.51.375 W123.17.03.197 N044.34.52.293 W123.16.57.499 
                          N044.34.52.293 W123.16.57.499 N044.34.52.809 W123.16.51.702 
                          N044.34.52.809 W123.16.51.702 N044.34.52.918 W123.16.45.862 
                          N044.34.52.918 W123.16.45.862 N044.34.52.619 W123.16.40.035 
                          N044.34.52.619 W123.16.40.035 N044.34.51.914 W123.16.34.277 
                          N044.34.51.914 W123.16.34.277 N044.34.50.810 W123.16.28.644 
                          N044.34.50.810 W123.16.28.644 N044.34.49.319 W123.16.23.191 
                          N044.34.49.319 W123.16.23.191 N044.34.47.453 W123.16.17.969 
                          N044.34.47.453 W123.16.17.969 N044.34.45.232 W123.16.13.028 
                          N044.34.45.232 W123.16.13.028 N044.34.42.677 W123.16.08.418 
                          N044.34.42.677 W123.16.08.418 N044.34.39.813 W123.16.04.181 
                          N044.34.39.813 W123.16.04.181 N044.34.36.666 W123.16.00.359 
                          N044.34.36.661 W123.16.00.353 N044.34.34.260 W123.16.05.124 
                          N044.34.34.260 W123.16.05.124 N044.34.32.203 W123.16.10.202 
                          N044.34.32.203 W123.16.10.202 N044.34.30.511 W123.16.15.539 
                          N044.34.30.511 W123.16.15.539 N044.34.29.200 W123.16.21.083 
                          N044.34.29.200 W123.16.21.083 N044.34.28.282 W123.16.26.781 
                          N044.34.28.282 W123.16.26.781 N044.34.27.767 W123.16.32.577 
                          N044.34.27.767 W123.16.32.577 N044.34.27.658 W123.16.38.416 
                          N044.34.27.658 W123.16.38.416 N044.34.27.957 W123.16.44.242 
                          N044.34.27.957 W123.16.44.242 N044.34.28.662 W123.16.49.999 
                          N044.34.28.662 W123.16.49.999 N044.34.29.765 W123.16.55.632 
                          N044.34.29.765 W123.16.55.632 N044.34.31.257 W123.17.01.085 
                          N044.34.31.257 W123.17.01.085 N044.34.33.121 W123.17.06.307 
                          N044.34.33.121 W123.17.06.307 N044.34.35.341 W123.17.11.248 
                          N044.34.35.341 W123.17.11.248 N044.34.37.896 W123.17.15.859 
                          N044.34.37.896 W123.17.15.859 N044.34.40.760 W123.17.20.097 
                          N044.34.40.760 W123.17.20.097 N044.34.43.906 W123.17.23.920 
                          N047.36.50.128 W117.32.39.470 N047.37.52.381 W117.31.05.757 
                          N047.37.52.381 W117.31.05.757 N047.36.50.128 W117.32.39.470 
                          N047.37.01.069 W117.33.11.764 N047.37.00.364 W117.31.12.105 
                          N047.37.00.364 W117.31.12.105 N047.37.01.069 W117.33.11.764 
    ; KGEG 03 centerline                                   
