((MFR-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.28.41.878 W122.54.31.539 N042.28.39.804 W122.54.33.042 RVM
                          N042.28.39.804 W122.54.33.042 N042.28.37.987 W122.54.35.064 RVM
                          N042.28.37.987 W122.54.35.064 N042.28.36.496 W122.54.37.528 RVM
                          N042.28.36.496 W122.54.37.528 N042.28.35.388 W122.54.40.339 RVM
                          N042.28.35.388 W122.54.40.339 N042.28.34.706 W122.54.43.389 RVM
                          N042.28.34.706 W122.54.43.389 N042.28.34.475 W122.54.46.561 RVM
                          N042.28.34.475 W122.54.46.561 N042.28.34.706 W122.54.49.733 RVM
                          N042.28.34.706 W122.54.49.733 N042.28.35.388 W122.54.52.783 RVM
                          N042.28.35.388 W122.54.52.783 N042.28.36.496 W122.54.55.594 RVM
                          N042.28.36.496 W122.54.55.594 N042.28.37.987 W122.54.58.058 RVM
                          N042.28.37.987 W122.54.58.058 N042.28.39.804 W122.55.00.080 RVM
                          N042.28.39.804 W122.55.00.080 N042.28.41.878 W122.55.01.583 RVM
                          N042.28.41.878 W122.55.01.583 N042.28.44.127 W122.55.02.508 RVM
                          N042.28.44.127 W122.55.02.508 N042.28.46.467 W122.55.02.821 RVM
                          N042.28.46.467 W122.55.02.821 N042.28.48.806 W122.55.02.509 RVM
                          N042.28.48.806 W122.55.02.509 N042.28.51.056 W122.55.01.583 RVM
                          N042.28.51.056 W122.55.01.583 N042.28.53.129 W122.55.00.081 RVM
                          N042.28.53.129 W122.55.00.081 N042.28.54.946 W122.54.58.059 RVM
                          N042.28.54.946 W122.54.58.059 N042.28.56.438 W122.54.55.595 RVM
                          N042.28.56.438 W122.54.55.595 N042.28.57.546 W122.54.52.784 RVM
                          N042.28.57.546 W122.54.52.784 N042.28.58.228 W122.54.49.733 RVM
                          N042.28.58.228 W122.54.49.733 N042.28.58.459 W122.54.46.561 RVM
    ; MOPIO
                          N042.43.23.703 W123.03.49.703 N042.45.04.594 W123.04.52.471 RVM
                          N042.44.37.195 W123.03.12.390 N042.43.51.093 W123.05.29.755 RVM
    ; LANKS
                          N042.22.21.776 W122.37.50.820 N042.21.30.953 W122.35.37.375 RVM
                          N042.21.07.070 W122.37.18.475 N042.22.45.667 W122.36.09.690 RVM
    ; BROKN
                          N042.44.42.513 W122.57.42.841 N042.46.32.426 W122.58.03.204 RVM
                          N042.45.44.939 W122.56.38.165 N042.45.29.988 W122.59.07.870 RVM
    ; MOURN
                          N042.58.34.978 W123.00.17.759 N043.00.24.882 W123.00.38.286 RVM
                          N043.00.03.530 W123.01.28.352 N042.58.56.321 W122.59.27.707 RVM
    ; KOLER
                          N042.45.25.268 W123.16.45.246 N042.46.44.646 W123.18.30.792 RVM
                          N042.47.00.132 W123.17.45.728 N042.45.09.787 W123.17.30.296 RVM
    ; CUTTR
                          N042.40.34.878 W122.44.23.158 N042.42.07.898 W122.43.00.945 RVM
                          N042.40.51.170 W122.42.38.793 N042.41.51.600 W122.44.45.344 RVM
    ; AZURE
                          N042.40.17.572 W123.09.56.491 N042.41.37.082 W123.11.41.707 RVM
                          N042.41.36.000 W123.09.55.001 N042.40.18.653 W123.11.43.160 RVM
    ; MERLI
                          N042.28.44.894 W123.13.57.830 N042.28.44.452 W123.16.28.230 RVM
                          N042.29.39.855 W123.15.20.680 N042.27.49.505 W123.15.05.383 RVM
    ; BRUTE
                          N042.24.52.453 W122.44.27.821 N042.24.01.736 W122.42.14.214 RVM
                          N042.24.19.567 W122.44.35.428 N042.24.34.620 W122.42.06.587 RVM
    ; GNATS
                          N042.26.00.399 W123.00.07.592 N042.24.56.652 W123.02.10.570 RVM
                          N042.26.13.917 W123.01.52.278 N042.24.43.139 W123.00.25.919 RVM
    ; PAPLE
                          N042.19.33.626 W123.12.32.770 N042.18.29.705 W123.14.35.373 RVM
                          N042.18.09.535 W123.13.08.494 N042.19.53.804 W123.13.59.677 RVM
    ; TALEM
                          N042.09.44.997 W122.52.46.820 N042.07.54.403 W122.52.35.283 RVM
                          N042.08.45.416 W122.53.55.631 N042.08.53.970 W122.51.26.466 RVM
    ; BAYTS
                          N042.05.31.684 W123.06.07.718 N042.03.47.314 W123.06.58.331 RVM
                          N042.03.47.341 W123.06.07.628 N042.05.31.657 W123.06.58.444 RVM
    ; LEAN
                          N041.55.59.050 W122.51.21.326 N041.57.49.650 W122.51.32.737 RVM
                          N041.56.58.587 W122.50.12.675 N041.56.50.100 W122.52.41.382 RVM
                          N042.41.26.966 W122.25.24.959 N042.38.51.101 W122.25.20.807 RVM
                          N042.25.39.376 W122.24.59.802 N042.23.03.511 W122.24.55.684 RVM
                          N042.23.03.511 W122.24.55.684 N042.20.27.644 W122.24.59.695 RVM
                          N042.02.24.209 W122.25.27.423 N041.59.48.342 W122.25.31.390 RVM
                          N041.59.48.342 W122.25.31.390 N041.59.51.587 W122.29.01.112 RVM
                          N042.00.21.837 W123.10.12.934 N042.00.23.726 W123.13.42.716 RVM
                          N042.00.23.726 W123.13.42.716 N042.02.40.072 W123.15.24.464 RVM
                          N042.17.53.266 W123.26.49.563 N042.20.09.418 W123.28.32.253 RVM
                          N042.20.09.418 W123.28.32.253 N042.22.42.670 W123.27.53.573 RVM
                          N042.42.08.398 W123.22.57.591 N042.44.41.619 W123.22.18.454 RVM
                          N042.44.41.619 W123.22.18.454 N042.46.22.960 W123.19.37.110 RVM
                          N042.54.05.920 W123.07.16.884 N042.55.46.909 W123.04.34.720 RVM
                          N042.55.46.909 W123.04.34.720 N042.55.45.397 W123.01.01.815 RVM
                          N042.55.43.117 W122.56.06.255 N042.55.41.343 W122.52.33.358 RVM
                          N042.55.41.343 W122.52.33.358 N042.54.10.960 W122.49.39.918 RVM
                          N042.42.57.957 W122.28.17.214 N042.41.26.966 W122.25.24.959 RVM
