((LMT-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.28.49.473 W122.26.53.280 N041.28.46.490 W122.26.48.429 RVM
                          N041.28.46.490 W122.26.48.429 N041.28.42.856 W122.26.44.449 RVM
                          N041.28.42.856 W122.26.44.449 N041.28.38.709 W122.26.41.491 RVM
                          N041.28.38.709 W122.26.41.491 N041.28.34.210 W122.26.39.670 RVM
                          N041.28.34.210 W122.26.39.670 N041.28.29.531 W122.26.39.055 RVM
                          N041.28.29.531 W122.26.39.055 N041.28.24.852 W122.26.39.671 RVM
                          N041.28.24.852 W122.26.39.671 N041.28.20.353 W122.26.41.493 RVM
                          N041.28.20.353 W122.26.41.493 N041.28.16.206 W122.26.44.452 RVM
                          N041.28.16.206 W122.26.44.452 N041.28.12.572 W122.26.48.433 RVM
                          N041.28.12.572 W122.26.48.433 N041.28.09.590 W122.26.53.283 RVM
                          N041.28.09.590 W122.26.53.283 N041.28.07.374 W122.26.58.817 RVM
                          N041.28.07.374 W122.26.58.817 N041.28.06.009 W122.27.04.822 RVM
                          N041.28.06.009 W122.27.04.822 N041.28.05.548 W122.27.11.066 RVM
                          N041.28.05.548 W122.27.11.066 N041.28.06.009 W122.27.17.310 RVM
                          N041.28.06.009 W122.27.17.310 N041.28.07.374 W122.27.23.315 RVM
                          N041.28.07.374 W122.27.23.315 N041.28.09.590 W122.27.28.849 RVM
                          N041.28.09.590 W122.27.28.849 N041.28.12.572 W122.27.33.699 RVM
                          N041.28.12.572 W122.27.33.699 N041.28.16.206 W122.27.37.680 RVM
                          N041.28.16.206 W122.27.37.680 N041.28.20.353 W122.27.40.639 RVM
                          N041.28.20.353 W122.27.40.639 N041.28.24.852 W122.27.42.461 RVM
                          N041.28.24.852 W122.27.42.461 N041.28.29.531 W122.27.43.077 RVM
                          N041.28.29.531 W122.27.43.077 N041.28.34.210 W122.27.42.462 RVM
                          N041.28.34.210 W122.27.42.462 N041.28.38.709 W122.27.40.641 RVM
                          N041.28.38.709 W122.27.40.641 N041.28.42.856 W122.27.37.683 RVM
                          N041.28.42.856 W122.27.37.683 N041.28.46.490 W122.27.33.703 RVM
                          N041.28.46.490 W122.27.33.703 N041.28.49.473 W122.27.28.852 RVM
                          N041.28.49.473 W122.27.28.852 N041.28.51.690 W122.27.23.317 RVM
                          N041.28.51.690 W122.27.23.317 N041.28.53.055 W122.27.17.312 RVM
                          N041.28.53.055 W122.27.17.312 N041.28.53.516 W122.27.11.066 RVM
                          N041.28.52.393 W122.27.01.386 N041.29.03.823 W122.26.56.545 RVM
                          N041.28.22.279 W122.26.40.555 N041.28.18.652 W122.26.25.300 RVM
                          N041.28.06.671 W122.27.20.744 N041.27.55.240 W122.27.25.582 RVM
                          N041.28.36.783 W122.27.41.579 N041.28.40.407 W122.27.56.836 RVM
    ; 1O5
                          N041.44.13.497 W122.32.44.082 N041.44.13.036 W122.32.37.812 RVM
                          N041.44.13.036 W122.32.37.812 N041.44.11.671 W122.32.31.782 RVM
                          N041.44.11.671 W122.32.31.782 N041.44.09.454 W122.32.26.226 RVM
                          N041.44.09.454 W122.32.26.226 N041.44.06.471 W122.32.21.356 RVM
                          N041.44.06.471 W122.32.21.356 N041.44.02.837 W122.32.17.359 RVM
                          N041.44.02.837 W122.32.17.359 N041.43.58.690 W122.32.14.390 RVM
                          N041.43.58.690 W122.32.14.390 N041.43.54.191 W122.32.12.561 RVM
                          N041.43.54.191 W122.32.12.561 N041.43.49.512 W122.32.11.944 RVM
                          N041.43.49.512 W122.32.11.944 N041.43.44.833 W122.32.12.563 RVM
                          N041.43.44.833 W122.32.12.563 N041.43.40.334 W122.32.14.392 RVM
                          N041.43.40.334 W122.32.14.392 N041.43.36.187 W122.32.17.362 RVM
                          N041.43.36.187 W122.32.17.362 N041.43.32.553 W122.32.21.359 RVM
                          N041.43.32.553 W122.32.21.359 N041.43.29.571 W122.32.26.229 RVM
                          N041.43.29.571 W122.32.26.229 N041.43.27.355 W122.32.31.785 RVM
                          N041.43.27.355 W122.32.31.785 N041.43.25.990 W122.32.37.813 RVM
                          N041.43.25.990 W122.32.37.813 N041.43.25.529 W122.32.44.082 RVM
                          N041.43.25.529 W122.32.44.082 N041.43.25.990 W122.32.50.351 RVM
                          N041.43.25.990 W122.32.50.351 N041.43.27.355 W122.32.56.379 RVM
                          N041.43.27.355 W122.32.56.379 N041.43.29.571 W122.33.01.935 RVM
                          N041.43.29.571 W122.33.01.935 N041.43.32.553 W122.33.06.805 RVM
                          N041.43.32.553 W122.33.06.805 N041.43.36.187 W122.33.10.802 RVM
                          N041.43.36.187 W122.33.10.802 N041.43.40.334 W122.33.13.772 RVM
                          N041.43.40.334 W122.33.13.772 N041.43.44.833 W122.33.15.601 RVM
                          N041.43.44.833 W122.33.15.601 N041.43.49.512 W122.33.16.220 RVM
                          N041.43.49.512 W122.33.16.220 N041.43.54.191 W122.33.15.603 RVM
                          N041.43.54.191 W122.33.15.603 N041.43.58.690 W122.33.13.774 RVM
                          N041.43.58.690 W122.33.13.774 N041.44.02.837 W122.33.10.805 RVM
                          N041.44.02.837 W122.33.10.805 N041.44.06.471 W122.33.06.808 RVM
                          N041.44.06.471 W122.33.06.808 N041.44.09.454 W122.33.01.938 RVM
                          N041.44.09.454 W122.33.01.938 N041.44.11.671 W122.32.56.382 RVM
                          N041.44.11.671 W122.32.56.382 N041.44.13.036 W122.32.50.352 RVM
                          N041.44.13.036 W122.32.50.352 N041.44.13.497 W122.32.44.082 RVM
                          N041.44.12.374 W122.32.34.364 N041.44.23.804 W122.32.29.504 RVM
                          N041.43.42.260 W122.32.13.450 N041.43.38.632 W122.31.58.134 RVM
                          N041.43.26.652 W122.32.53.798 N041.43.15.221 W122.32.58.656 RVM
                          N041.43.56.764 W122.33.14.716 N041.44.00.388 W122.33.30.034 RVM
    ; KMFR
                          N042.22.51.184 W122.52.24.600 N042.22.50.723 W122.52.18.266 RVM
                          N042.22.50.723 W122.52.18.266 N042.22.49.358 W122.52.12.175 RVM
