                          N046.36.51.136 W120.12.08.413 N046.37.18.181 W120.11.49.632 ZSEHO
                          N046.36.51.136 W120.09.08.113 N046.37.00.151 W120.09.08.113 ZSEHO
                          N046.36.51.136 W120.09.58.447 N046.36.33.106 W120.09.39.666 ZSEHO
                          N046.37.00.151 W120.09.58.447 N046.36.51.136 W120.09.58.447 ZSEHO
                          N046.37.00.151 W120.09.08.113 N046.37.18.181 W120.09.20.884 ZSEHO
                          N046.37.18.181 W120.11.49.632 N046.35.48.782 W120.11.49.632 ZSEHO
                          N046.37.18.181 W120.10.41.268 N046.35.48.782 W120.10.41.268 ZSEHO
                          N046.37.18.181 W120.17.23.188 N046.35.48.782 W120.17.23.188 ZSEHO
                          N046.37.18.181 W120.15.56.043 N046.37.18.181 W120.16.46.377 ZSEHO
                          N046.37.18.181 W120.07.42.470 N046.37.18.181 W120.06.52.136 ZSEHO
                          N046.37.18.181 W120.06.34.106 N046.37.18.181 W120.05.43.772 ZSEHO
                          N046.37.18.181 W120.09.45.676 N046.37.00.151 W120.09.58.447 ZSEHO
                          N046.37.18.181 W120.09.20.884 N046.37.18.181 W120.09.45.676 ZSEHO
                          N046.38.45.000 W118.54.50.000 N047.02.29.137 W120.05.34.010 ZSEHO
                          N046.55.13.974 W119.01.32.103 N046.55.22.989 W119.01.32.103 ZSEHO
                          N046.55.13.974 W119.01.38.113 N046.55.13.974 W119.01.32.103 ZSEHO
                          N046.55.13.974 W119.02.52.487 N046.55.22.989 W119.03.05.258 ZSEHO
                          N046.55.13.974 W119.02.27.696 N046.55.13.974 W119.02.52.487 ZSEHO
