- S46 LABELS              N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.04.30.744 W122.34.53.466 N047.04.30.746 W122.34.53.783
                          N047.04.30.746 W122.34.53.783 N047.04.30.350 W122.34.53.786
                          N047.04.41.218 W122.34.41.480 N047.04.41.542 W122.34.41.609
                          N047.04.41.379 W122.34.41.543 N047.04.41.381 W122.34.41.674
                          N047.04.41.542 W122.34.41.609 N047.04.41.218 W122.34.41.739
                          N047.04.43.261 W122.34.58.167 N047.04.43.259 W122.34.57.850
                          N047.04.43.459 W122.34.58.167 N047.04.43.459 W122.34.57.929
                          N047.04.43.655 W122.34.57.848 N047.04.43.657 W122.34.58.164
                          N047.04.43.657 W122.34.58.164 N047.04.43.261 W122.34.58.167
                          N047.04.49.520 W122.34.58.775 N047.04.49.517 W122.34.58.577
                          N047.04.49.676 W122.34.58.456 N047.04.49.678 W122.34.58.772
                          N047.04.49.678 W122.34.58.772 N047.04.49.282 W122.34.58.775
                          N047.04.51.579 W122.34.44.937 N047.04.51.905 W122.34.45.065
                          N047.04.51.742 W122.34.45.000 N047.04.51.744 W122.34.45.130
                          N047.04.51.905 W122.34.45.065 N047.04.51.581 W122.34.45.195
                          N047.04.53.917 W122.34.49.069 N047.04.53.982 W122.34.49.004
                          N047.04.53.919 W122.34.49.197 N047.04.53.917 W122.34.49.069
                          N047.04.53.985 W122.34.49.262 N047.04.53.919 W122.34.49.197
                          N047.04.54.176 W122.34.49.001 N047.04.54.241 W122.34.49.067
                          N047.04.54.178 W122.34.49.260 N047.04.53.985 W122.34.49.262
                          N047.04.54.241 W122.34.49.067 N047.04.54.243 W122.34.49.195
                          N047.04.54.243 W122.34.49.195 N047.04.54.178 W122.34.49.260
                          N047.05.08.604 W122.35.16.169 N047.05.08.928 W122.35.16.167
                          N047.05.08.767 W122.35.16.167 N047.05.08.767 W122.35.16.425
                          N047.05.08.930 W122.35.16.425 N047.05.08.606 W122.35.16.428
                          N047.05.10.880 W122.34.51.457 N047.05.11.203 W122.34.51.585
                          N047.05.11.040 W122.34.51.519 N047.05.11.043 W122.34.51.650
                          N047.05.11.203 W122.34.51.585 N047.05.10.880 W122.34.51.715
                          N047.05.12.734 W122.35.06.780 N047.05.12.773 W122.35.06.701
                          N047.05.12.736 W122.35.07.018 N047.05.12.734 W122.35.06.780
                          N047.05.12.773 W122.35.06.701 N047.05.12.932 W122.35.06.701
                          N047.05.12.932 W122.35.06.701 N047.05.12.971 W122.35.06.778
                          N047.05.12.971 W122.35.06.778 N047.05.13.011 W122.35.06.738
                          N047.05.12.974 W122.35.07.016 N047.05.12.971 W122.35.06.778
                          N047.05.13.011 W122.35.06.738 N047.05.13.090 W122.35.06.738
                          N047.05.13.090 W122.35.06.738 N047.05.13.130 W122.35.06.778
                          N047.05.13.130 W122.35.06.778 N047.05.13.132 W122.35.07.016
                          N047.05.13.132 W122.35.07.016 N047.05.12.736 W122.35.07.018
                          N047.05.13.994 W122.35.00.366 N047.05.14.024 W122.35.00.151
                          N047.05.14.024 W122.35.00.151 N047.05.14.092 W122.35.00.051
                          N047.05.14.033 W122.35.00.480 N047.05.13.994 W122.35.00.366
                          N047.05.14.092 W122.35.00.051 N047.05.14.360 W122.35.00.089
                          N047.05.14.248 W122.35.00.508 N047.05.14.516 W122.35.00.545
                          N047.05.14.273 W122.35.01.111 N047.05.14.457 W122.35.00.974
                          N047.05.14.315 W122.35.00.408 N047.05.14.248 W122.35.00.508
                          N047.05.14.343 W122.35.00.196 N047.05.14.315 W122.35.00.408
                          N047.05.14.360 W122.35.00.089 N047.05.14.343 W122.35.00.196
                          N047.05.14.457 W122.35.00.974 N047.05.13.922 W122.35.00.899
                          N047.05.14.516 W122.35.00.545 N047.05.14.574 W122.35.00.116
                          N047.05.15.659 W122.34.48.524 N047.05.15.699 W122.34.48.445
                          N047.05.15.659 W122.34.48.762 N047.05.15.659 W122.34.48.524
                          N047.05.15.699 W122.34.48.445 N047.05.15.857 W122.34.48.443
                          N047.05.15.857 W122.34.48.443 N047.05.15.897 W122.34.48.522
                          N047.05.15.897 W122.34.48.522 N047.05.15.936 W122.34.48.482
                          N047.05.15.899 W122.34.48.759 N047.05.15.897 W122.34.48.522
                          N047.05.15.936 W122.34.48.482 N047.05.16.016 W122.34.48.482
                          N047.05.16.016 W122.34.48.482 N047.05.16.055 W122.34.48.522
                          N047.05.16.055 W122.34.48.759 N047.05.15.659 W122.34.48.762
                          N047.05.16.055 W122.34.48.522 N047.05.16.055 W122.34.48.759
                          N047.07.25.960 W122.28.35.167 N047.07.26.007 W122.28.35.074
                          N047.07.25.960 W122.28.35.260 N047.07.25.960 W122.28.35.167
                          N047.07.26.007 W122.28.35.074 N047.07.26.053 W122.28.35.028
                          N047.07.26.009 W122.28.35.354 N047.07.25.960 W122.28.35.260
                          N047.07.26.053 W122.28.35.028 N047.07.26.146 W122.28.35.025
                          N047.07.26.055 W122.28.35.400 N047.07.26.009 W122.28.35.354
                          N047.07.26.095 W122.28.34.464 N047.07.26.097 W122.28.34.839
                          N047.07.26.097 W122.28.34.839 N047.07.26.423 W122.28.34.604
                          N047.07.26.146 W122.28.35.025 N047.07.26.193 W122.28.35.072
                          N047.07.26.193 W122.28.35.072 N047.07.26.242 W122.28.35.165
                          N047.07.26.242 W122.28.35.260 N047.07.26.428 W122.28.35.072
                          N047.07.26.242 W122.28.35.165 N047.07.26.242 W122.28.35.260
                          N047.07.26.410 W122.28.40.857 N047.07.26.407 W122.28.40.427
                          N047.07.26.423 W122.28.34.604 N047.07.25.958 W122.28.34.606
                          N047.07.26.428 W122.28.35.072 N047.07.26.428 W122.28.35.351
                          N047.07.26.680 W122.28.40.855 N047.07.26.677 W122.28.40.531
                          N047.07.26.945 W122.28.40.422 N047.07.26.950 W122.28.40.855
                          N047.07.26.950 W122.28.40.855 N047.07.26.410 W122.28.40.857
                          N047.07.31.343 W122.28.46.126 N047.07.31.883 W122.28.46.121
                          N047.07.31.613 W122.28.46.124 N047.07.31.615 W122.28.46.555
                          N047.07.31.885 W122.28.46.555 N047.07.31.345 W122.28.46.557
                          N047.07.51.544 W122.28.46.382 N047.07.52.084 W122.28.46.380
                          N047.07.51.814 W122.28.46.382 N047.07.51.816 W122.28.46.813
                          N047.07.52.087 W122.28.46.811 N047.07.51.546 W122.28.46.816
                          N047.08.08.163 W122.28.46.470 N047.08.08.703 W122.28.46.468
                          N047.08.08.433 W122.28.46.468 N047.08.08.435 W122.28.46.901
                          N047.08.08.706 W122.28.46.898 N047.08.08.165 W122.28.46.903
                          N047.08.17.489 W122.28.42.543 N047.08.17.554 W122.28.42.478
                          N047.08.17.491 W122.28.42.739 N047.08.17.489 W122.28.42.543
                          N047.08.17.491 W122.28.42.739 N047.08.17.491 W122.28.42.739
                          N047.08.17.554 W122.28.42.478 N047.08.17.750 W122.28.42.478
                          N047.08.17.750 W122.28.42.478 N047.08.17.815 W122.28.42.541
                          N047.08.17.815 W122.28.42.736 N047.08.17.491 W122.28.42.739
                          N047.08.17.815 W122.28.42.541 N047.08.17.815 W122.28.42.736
                          N047.08.18.220 W122.28.25.689 N047.08.18.223 W122.28.26.122
                          N047.08.18.223 W122.28.26.122 N047.08.18.763 W122.28.26.117
                          N047.08.20.636 W122.28.30.266 N047.08.20.743 W122.28.30.159
                          N047.08.20.638 W122.28.30.589 N047.08.20.636 W122.28.30.266
                          N047.08.20.638 W122.28.30.589 N047.08.20.638 W122.28.30.589
                          N047.08.20.743 W122.28.30.159 N047.08.21.067 W122.28.30.156
                          N047.08.21.067 W122.28.30.156 N047.08.21.176 W122.28.30.263
                          N047.08.21.176 W122.28.30.263 N047.08.21.178 W122.28.30.587
                          N047.08.21.178 W122.28.30.587 N047.08.20.638 W122.28.30.589
                          N047.08.23.678 W122.29.11.003 N047.08.24.004 W122.29.11.218
                          N047.08.23.843 W122.29.11.381 N047.08.24.218 W122.29.11.001
                          N047.08.24.220 W122.29.11.378 N047.08.23.680 W122.29.11.381
                          N047.08.26.387 W122.28.27.480 N047.08.26.494 W122.28.27.371
                          N047.08.26.389 W122.28.27.694 N047.08.26.387 W122.28.27.480
                          N047.08.26.498 W122.28.27.801 N047.08.26.389 W122.28.27.694
                          N047.08.26.820 W122.28.27.368 N047.08.26.927 W122.28.27.475
                          N047.08.26.822 W122.28.27.799 N047.08.26.498 W122.28.27.801
                          N047.08.26.927 W122.28.27.475 N047.08.26.929 W122.28.27.692
                          N047.08.26.929 W122.28.27.692 N047.08.26.822 W122.28.27.799
                          N047.08.27.414 W122.28.46.523 N047.08.27.954 W122.28.46.519
                          N047.08.27.684 W122.28.46.521 N047.08.27.686 W122.28.46.952
                          N047.08.27.775 W122.28.20.178 N047.08.27.772 W122.28.19.908
                          N047.08.27.956 W122.28.46.950 N047.08.27.416 W122.28.46.954
                          N047.08.27.987 W122.28.19.745 N047.08.27.989 W122.28.20.176
