                          N045.48.05.070 W120.00.56.660 N045.49.30.260 W119.56.38.030
                          N045.49.30.260 W119.56.38.030 N045.49.48.520 W119.52.07.230
                          N045.49.48.520 W119.52.07.230 N045.50.46.330 W119.49.25.970
                          N045.50.46.330 W119.49.25.970 N045.50.25.030 W119.44.09.530
                          N045.50.25.030 W119.44.09.530 N045.51.09.000 W119.40.04.000
                          N045.51.09.000 W119.40.04.000 N045.52.59.000 W119.31.04.000
                          N045.52.59.000 W119.31.04.000 N045.46.34.000 W119.31.04.000
                          N045.46.34.000 W119.31.04.000 N045.46.12.000 W119.35.02.000
                          N045.46.12.000 W119.35.02.000 N045.46.35.000 W119.46.50.000
                          N045.46.35.000 W119.46.50.000 N045.46.33.000 W120.02.32.000
                          N045.46.33.000 W120.02.32.000 N045.40.33.000 W120.02.32.000
                          N048.09.59.000 W122.34.53.000 N048.05.44.000 W122.31.35.000
                          N048.05.44.000 W122.31.35.000 N048.06.05.000 W122.41.17.000
                          N048.06.05.000 W122.41.17.000 N048.09.59.000 W122.41.01.000
                          N048.09.59.000 W122.41.01.000 N048.09.59.000 W122.34.53.000
                          N047.03.07.000 W122.41.09.000 N047.04.34.000 W122.41.09.000
                          N047.04.34.000 W122.41.09.000 N047.04.41.000 W122.38.19.000
                          N047.04.41.000 W122.38.19.000 N047.03.37.000 W122.35.40.000
                          N047.03.37.000 W122.35.40.000 N046.58.16.000 W122.37.44.000
                          N046.58.16.000 W122.37.44.000 N047.03.07.000 W122.41.09.000
                          N047.03.37.000 W122.35.40.000 N047.02.35.000 W122.34.52.000
                          N047.02.35.000 W122.34.52.000 N047.00.45.000 W122.34.52.000
                          N047.00.45.000 W122.34.52.000 N046.59.59.000 W122.35.39.000
                          N046.59.59.000 W122.35.39.000 N046.58.16.000 W122.37.44.000
                          N046.58.16.000 W122.37.44.000 N047.03.37.000 W122.35.40.000
                          N046.58.16.000 W122.37.44.000 N046.54.34.000 W122.41.29.000
                          N046.54.34.000 W122.41.29.000 N046.54.17.000 W122.43.36.000
                          N046.54.17.000 W122.43.36.000 N046.55.11.000 W122.44.34.000
                          N046.55.11.000 W122.44.34.000 N047.03.07.000 W122.41.09.000
                          N047.03.07.000 W122.41.09.000 N046.58.16.000 W122.37.44.000
                          N047.03.37.000 W122.35.40.000 N047.02.13.000 W122.32.19.000
                          N047.02.13.000 W122.32.19.000 N047.01.47.000 W122.31.42.000
                          N047.01.47.000 W122.31.42.000 N047.00.59.000 W122.31.41.000
                          N047.00.59.000 W122.31.41.000 N047.00.41.000 W122.33.16.000
                          N047.00.41.000 W122.33.16.000 N047.00.29.000 W122.33.20.000
                          N047.00.29.000 W122.33.20.000 N046.59.59.000 W122.35.39.000
                          N046.59.59.000 W122.35.39.000 N047.00.45.000 W122.34.52.000
                          N047.00.45.000 W122.34.52.000 N047.02.35.000 W122.34.52.000
                          N047.02.35.000 W122.34.52.000 N047.03.37.000 W122.35.40.000
                          N046.50.59.000 W119.58.04.000 N046.49.54.270 W119.56.41.340
                          N046.49.54.270 W119.56.41.340 N046.48.55.540 W119.55.55.660
                          N046.48.55.540 W119.55.55.660 N046.46.51.550 W119.56.44.600
                          N046.46.51.550 W119.56.44.600 N046.45.43.030 W119.58.22.490
                          N046.45.43.030 W119.58.22.490 N046.43.55.350 W119.58.35.540
                          N046.43.55.350 W119.58.35.540 N046.42.28.000 W119.58.19.000
                          N046.42.28.000 W119.58.19.000 N046.35.04.000 W120.02.50.000
                          N046.35.04.000 W120.02.50.000 N046.37.50.000 W120.20.26.000
                          N046.37.50.000 W120.20.26.000 N046.38.29.000 W120.20.25.000
                          N046.38.29.000 W120.20.25.000 N046.38.59.000 W120.22.13.000
                          N046.38.59.000 W120.22.13.000 N046.42.19.000 W120.26.12.000
                          N046.42.19.000 W120.26.12.000 N046.42.56.230 W120.24.21.260
                          N046.42.56.230 W120.24.21.260 N046.43.45.680 W120.22.58.840
                          N046.43.45.680 W120.22.58.840 N046.44.51.620 W120.22.54.720
                          N046.44.51.620 W120.22.54.720 N046.45.28.700 W120.22.13.510
                          N046.45.28.700 W120.22.13.510 N046.46.53.180 W120.21.32.300
                          N046.46.53.180 W120.21.32.300 N046.47.49.000 W120.21.19.000
                          N046.47.49.000 W120.21.19.000 N046.51.09.000 W120.09.02.000
                          N046.51.09.000 W120.09.02.000 N046.50.59.000 W119.58.04.000
                          N046.42.28.000 W119.58.19.000 N046.41.14.290 W119.57.39.030
                          N046.41.14.290 W119.57.39.030 N046.39.33.310 W119.56.46.620
                          N046.39.33.310 W119.56.46.620 N046.38.59.000 W119.56.09.000
                          N046.38.59.000 W119.56.09.000 N046.38.08.000 W119.56.13.000
                          N046.38.08.000 W119.56.13.000 N046.38.08.000 W119.55.04.000
                          N046.38.08.000 W119.55.04.000 N046.33.55.000 W119.55.04.000
                          N046.33.55.000 W119.55.04.000 N046.35.04.000 W120.02.50.000
                          N046.35.04.000 W120.02.50.000 N046.42.28.000 W119.58.19.000
                          N046.33.55.000 W119.55.04.000 N046.32.50.000 W119.55.04.000
                          N046.32.50.000 W119.55.04.000 N046.32.50.000 W120.04.25.000
                          N046.32.50.000 W120.04.25.000 N046.37.03.000 W120.20.26.000
                          N046.37.03.000 W120.20.26.000 N046.37.50.000 W120.20.26.000
                          N046.37.50.000 W120.20.26.000 N046.35.04.000 W120.02.50.000
                          N046.35.04.000 W120.02.50.000 N046.33.55.000 W119.55.04.000
                          N046.38.59.000 W120.22.13.000 N046.38.59.000 W120.23.45.000
                          N046.38.59.000 W120.23.45.000 N046.40.34.000 W120.26.39.000
                          N046.40.34.000 W120.26.39.000 N046.42.19.000 W120.26.12.000
                          N046.42.19.000 W120.26.12.000 N046.38.59.000 W120.22.13.000
                          N046.50.59.000 W119.58.04.000 N046.49.54.270 W119.56.41.340
                          N046.49.54.270 W119.56.41.340 N046.48.55.540 W119.55.55.660
                          N046.48.55.540 W119.55.55.660 N046.46.51.550 W119.56.44.600
                          N046.46.51.550 W119.56.44.600 N046.45.43.030 W119.58.22.490
                          N046.45.43.030 W119.58.22.490 N046.43.55.350 W119.58.35.540
                          N046.43.55.350 W119.58.35.540 N046.42.28.000 W119.58.19.000
                          N046.42.28.000 W119.58.19.000 N046.41.14.280 W119.57.39.030
                          N046.41.14.280 W119.57.39.030 N046.39.33.310 W119.56.46.620
                          N046.39.33.310 W119.56.46.620 N046.38.59.000 W119.56.09.000
                          N046.38.59.000 W119.56.09.000 N046.38.08.000 W119.56.13.000
                          N046.38.08.000 W119.56.13.000 N046.38.08.000 W119.55.04.000
                          N046.38.08.000 W119.55.04.000 N046.33.55.000 W119.55.04.000
                          N046.33.55.000 W119.55.04.000 N046.33.19.000 W119.55.04.000
                          N046.33.19.000 W119.55.04.000 N046.32.50.000 W119.55.04.000
                          N046.32.50.000 W119.55.04.000 N046.32.50.000 W120.04.25.000
                          N046.32.50.000 W120.04.25.000 N046.37.03.000 W120.20.26.000
                          N046.37.03.000 W120.20.26.000 N046.37.50.000 W120.20.26.000
                          N046.37.50.000 W120.20.26.000 N046.38.29.000 W120.20.25.000
                          N046.38.29.000 W120.20.25.000 N046.38.59.000 W120.22.13.000
