                          N041.02.24.054 W124.08.30.183 N041.02.25.594 W124.08.25.035 classEsfc
                          N041.02.25.594 W124.08.25.035 N041.02.27.064 W124.08.19.851 classEsfc
                          N041.02.27.064 W124.08.19.851 N041.02.28.466 W124.08.14.635 classEsfc
                          N041.02.28.466 W124.08.14.635 N041.02.29.799 W124.08.09.387 classEsfc
                          N041.02.29.799 W124.08.09.387 N041.02.31.062 W124.08.04.109 classEsfc
                          N041.02.31.062 W124.08.04.109 N041.02.32.256 W124.07.58.803 classEsfc
                          N041.02.32.256 W124.07.58.803 N041.02.33.379 W124.07.53.470 classEsfc
                          N041.02.33.379 W124.07.53.470 N041.02.34.431 W124.07.48.111 classEsfc
                          N041.02.34.431 W124.07.48.111 N041.02.35.412 W124.07.42.730 classEsfc
                          N041.02.35.412 W124.07.42.730 N041.02.36.322 W124.07.37.326 classEsfc
                          N041.02.36.322 W124.07.37.326 N041.02.37.160 W124.07.31.903 classEsfc
                          N041.02.37.160 W124.07.31.903 N041.02.37.926 W124.07.26.460 classEsfc
                          N041.02.37.926 W124.07.26.460 N041.02.38.620 W124.07.21.001 classEsfc
                          N041.02.38.620 W124.07.21.001 N041.02.39.242 W124.07.15.527 classEsfc
                          N041.02.39.242 W124.07.15.527 N041.02.39.792 W124.07.10.039 classEsfc
                          N041.02.39.792 W124.07.10.039 N041.02.40.269 W124.07.04.539 classEsfc
                          N041.02.40.269 W124.07.04.539 N041.02.40.673 W124.06.59.030 classEsfc
                          N041.02.40.673 W124.06.59.030 N041.02.41.004 W124.06.53.511 classEsfc
                          N041.02.41.004 W124.06.53.511 N041.02.41.262 W124.06.47.986 classEsfc
                          N041.02.41.262 W124.06.47.986 N041.02.41.447 W124.06.42.456 classEsfc
                          N041.02.41.447 W124.06.42.456 N041.02.41.558 W124.06.36.922 classEsfc
                          N041.02.41.558 W124.06.36.922 N041.02.41.597 W124.06.31.387 classEsfc
                          N041.02.41.597 W124.06.31.387 N041.02.41.560 W124.06.25.705 classEsfc
                          N041.02.41.560 W124.06.25.705 N041.02.41.451 W124.06.20.171 classEsfc
                          N041.02.41.451 W124.06.20.171 N041.02.41.268 W124.06.14.640 classEsfc
                          N041.02.41.268 W124.06.14.640 N041.02.41.012 W124.06.09.115 classEsfc
                          N041.02.41.012 W124.06.09.115 N041.02.40.682 W124.06.03.597 classEsfc
                          N041.02.40.682 W124.06.03.597 N041.02.40.280 W124.05.58.087 classEsfc
                          N041.02.40.280 W124.05.58.087 N041.02.39.805 W124.05.52.587 classEsfc
                          N041.02.39.805 W124.05.52.587 N041.02.39.258 W124.05.47.098 classEsfc
                          N041.02.39.258 W124.05.47.098 N041.02.38.638 W124.05.41.624 classEsfc
                          N041.02.38.638 W124.05.41.624 N041.02.37.946 W124.05.36.164 classEsfc
                          N041.02.37.946 W124.05.36.164 N041.02.37.181 W124.05.30.721 classEsfc
                          N041.02.37.181 W124.05.30.721 N041.02.36.345 W124.05.25.297 classEsfc
                          N041.02.36.345 W124.05.25.297 N041.02.35.437 W124.05.19.893 classEsfc
                          N041.02.35.437 W124.05.19.893 N041.02.34.458 W124.05.14.511 classEsfc
                          N041.02.34.458 W124.05.14.511 N041.02.33.407 W124.05.09.152 classEsfc
                          N041.02.33.407 W124.05.09.152 N041.02.32.286 W124.05.03.818 classEsfc
                          N041.02.32.286 W124.05.03.818 N041.02.31.095 W124.04.58.511 classEsfc
                          N041.02.31.095 W124.04.58.511 N041.02.29.834 W124.04.53.233 classEsfc
                          N041.02.29.834 W124.04.53.233 N041.02.28.503 W124.04.47.984 classEsfc
                          N041.02.28.503 W124.04.47.984 N041.02.27.102 W124.04.42.767 classEsfc
                          N041.02.27.102 W124.04.42.767 N041.02.25.633 W124.04.37.582 classEsfc
                          N041.02.25.633 W124.04.37.582 N041.02.24.096 W124.04.32.433 classEsfc
                          N041.02.24.096 W124.04.32.433 N041.02.22.491 W124.04.27.320 classEsfc
                          N041.02.22.491 W124.04.27.320 N041.02.20.818 W124.04.22.245 classEsfc
                          N041.02.20.818 W124.04.22.245 N041.02.19.079 W124.04.17.209 classEsfc
                          N041.02.19.079 W124.04.17.209 N041.02.17.273 W124.04.12.214 classEsfc
                          N041.02.17.273 W124.04.12.214 N041.02.15.402 W124.04.07.261 classEsfc
                          N041.02.15.402 W124.04.07.261 N041.02.13.465 W124.04.02.353 classEsfc
                          N041.02.13.465 W124.04.02.353 N041.02.11.463 W124.03.57.490 classEsfc
                          N041.02.11.463 W124.03.57.490 N041.02.09.398 W124.03.52.674 classEsfc
                          N041.02.09.398 W124.03.52.674 N041.02.07.269 W124.03.47.906 classEsfc
                          N041.02.07.269 W124.03.47.906 N041.02.05.078 W124.03.43.188 classEsfc
                          N041.02.05.078 W124.03.43.188 N041.02.02.824 W124.03.38.522 classEsfc
                          N041.02.02.824 W124.03.38.522 N041.02.00.509 W124.03.33.908 classEsfc
                          N041.02.00.509 W124.03.33.908 N041.01.58.134 W124.03.29.348 classEsfc
                          N041.01.58.134 W124.03.29.348 N041.01.55.698 W124.03.24.844 classEsfc
                          N041.01.55.698 W124.03.24.844 N041.01.53.203 W124.03.20.397 classEsfc
                          N041.01.53.203 W124.03.20.397 N041.01.50.650 W124.03.16.008 classEsfc
                          N041.01.50.650 W124.03.16.008 N041.01.48.039 W124.03.11.679 classEsfc
                          N041.01.48.039 W124.03.11.679 N041.01.45.371 W124.03.07.410 classEsfc
                          N041.01.45.371 W124.03.07.410 N041.01.42.648 W124.03.03.204 classEsfc
                          N041.01.42.648 W124.03.03.204 N041.01.39.869 W124.02.59.062 classEsfc
                          N041.01.39.869 W124.02.59.062 N041.01.37.035 W124.02.54.984 classEsfc
                          N041.01.37.035 W124.02.54.984 N041.01.34.149 W124.02.50.972 classEsfc
