PDX LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N000.00.00.000
                          N000.00.00.000
                          N045.35.11.616 W122.36.42.173 N045.35.11.523 W122.36.41.982
                          N045.35.11.779 W122.36.02.256 N045.35.11.970 W122.36.02.642
                          N045.35.11.779 W122.36.02.735 N045.35.11.658 W122.36.02.498
                          N045.35.11.794 W122.35.38.473 N045.35.11.989 W122.35.38.860
                          N045.35.11.812 W122.36.41.959 N045.35.11.667 W122.36.41.908
                          N045.35.11.858 W122.36.42.294 N045.35.11.910 W122.36.42.150
                          N045.35.11.892 W122.35.38.669 N045.35.11.407 W122.35.38.907
                          N045.35.11.910 W122.36.42.150 N045.35.11.812 W122.36.41.959
                          N045.35.11.970 W122.36.02.642 N045.35.11.486 W122.36.02.880
                          N045.35.12.017 W122.34.33.549 N045.35.12.041 W122.34.33.475
                          N045.35.12.017 W122.34.33.671 N045.35.12.017 W122.34.33.549
                          N045.35.12.041 W122.34.33.475 N045.35.12.139 W122.34.33.428
                          N045.35.12.064 W122.34.33.764 N045.35.12.017 W122.34.33.671
                          N045.35.12.073 W122.36.26.442 N045.35.12.264 W122.36.26.828
                          N045.35.12.073 W122.36.26.926 N045.35.11.952 W122.36.26.684
                          N045.35.12.139 W122.34.33.428 N045.35.12.213 W122.34.33.452
                          N045.35.12.162 W122.34.33.838 N045.35.12.064 W122.34.33.764
                          N045.35.12.213 W122.34.33.452 N045.35.12.306 W122.34.33.526
                          N045.35.12.232 W122.34.34.104 N045.35.12.814 W122.34.34.057
                          N045.35.12.236 W122.34.33.862 N045.35.12.162 W122.34.33.838
                          N045.35.12.264 W122.36.26.828 N045.35.11.784 W122.36.27.071
                          N045.35.12.306 W122.34.33.526 N045.35.12.357 W122.34.33.624
                          N045.35.12.357 W122.34.33.624 N045.35.12.451 W122.34.33.331
                          N045.35.12.451 W122.34.33.331 N045.35.12.595 W122.34.33.624
                          N045.35.12.525 W122.34.34.080 N045.35.12.618 W122.34.34.276
                          N045.35.12.814 W122.34.34.057 N045.35.12.427 W122.34.34.490
                          N045.35.14.034 W122.36.16.594 N045.35.14.085 W122.36.16.450
                          N045.35.14.132 W122.36.16.790 N045.35.14.034 W122.36.16.594
                          N045.35.14.276 W122.36.16.836 N045.35.14.132 W122.36.16.790
                          N045.35.14.374 W122.36.16.305 N045.35.14.518 W122.36.16.356
                          N045.35.14.518 W122.36.16.356 N045.35.14.616 W122.36.16.547
                          N045.35.14.528 W122.36.27.178 N045.35.14.332 W122.36.26.791
                          N045.35.14.565 W122.36.16.692 N045.35.14.276 W122.36.16.836
                          N045.35.14.616 W122.36.16.547 N045.35.14.565 W122.36.16.692
                          N045.35.14.765 W122.36.27.061 N045.35.14.621 W122.36.26.768
                          N045.35.14.816 W122.36.26.554 N045.35.15.007 W122.36.26.940
                          N045.35.14.952 W122.34.49.067 N045.35.15.530 W122.34.49.020
                          N045.35.15.007 W122.36.26.940 N045.35.14.528 W122.36.27.178
                          N045.35.15.161 W122.35.55.846 N045.35.15.357 W122.35.55.752
                          N045.35.15.161 W122.35.55.967 N045.35.15.161 W122.35.55.846
                          N045.35.15.241 W122.34.49.043 N045.35.15.339 W122.34.49.239
                          N045.35.15.306 W122.35.56.260 N045.35.15.161 W122.35.55.967
                          N045.35.15.357 W122.35.55.752 N045.35.15.450 W122.35.55.822
                          N045.35.15.450 W122.35.55.822 N045.35.15.478 W122.35.55.752
                          N045.35.15.478 W122.35.55.752 N045.35.15.571 W122.35.55.701
                          N045.35.15.530 W122.34.49.020 N045.35.15.143 W122.34.49.453
                          N045.35.15.571 W122.35.55.701 N045.35.15.646 W122.35.55.729
                          N045.35.15.594 W122.35.56.116 N045.35.15.450 W122.35.55.822
                          N045.35.15.646 W122.35.55.729 N045.35.15.790 W122.35.56.018
                          N045.35.15.790 W122.35.56.018 N045.35.15.306 W122.35.56.260
